bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures	_
c' est depuis l' hélicoptère des pompiers espagnols que l' on saisit l' étendue du désastre quatorze mille hectares de végétation calcinée des exploitations agricoles ravagées	depuis l' hélicoptère des pompiers espagnols que l' on saisit l' étendue du désastre quatorze mille hectares de végétation calcinée des exploitations agricoles ravagé	_
seuls ces quelques maisons semblent avoir échappé aux flammes de justesse	ces quelques maisons semblent avoir échappé aux flammes de justesse	_
quatre cent cinquante pompiers français sont venus soutenir leurs collègues espagnols le relief accidenté ne leur facilite pas la tâche	quatre cents cinquante pompiers français sont venus soutenir leurs collègues espagnols le relief accidenté ne leur facilite pas la tâche	_
(h) il y a des terrains qui sont totalement inaccessibles donc là on a deux solutions soit faire larguer les avions bombardiers d' eau	il y a des terrains qui sont totalement inaccessible donc là on a deux solutions soit faire larguer les avions bombardiers d' eau	_
mais dans tous les cas il faut une présence au sol pour arriver à éteindre complètement le le feu ou héliporter des personnels qu' on pose sur des points hauts avec des et qui vont essayer d' atteindre le sinistre	mais dans tous les cas il faut une présence au sol pour arriver à éteindre complètement le le feu ou héliporter des personnels qu' on pose sur des points oui avec des et qui vont essayer d' atteindre le sinistre	_
au sol les soldats du feu sillonnent les routes et les villages de la région leur mission neutraliser les fumerolles et noyer certaines zones	au sol les soldats du feu sillonnent les routes et les villages de la région leur mission neutraliser les fumerolles et noyé certaines zones	_
le vent est en train de se lever il fait extrêmement chaud il y a plein de boulot qu' on doit traiter en priorité et là effectivement il faut qu' on soit très vigilent parce que il y a des reprises un peu partout là dès que le vent se lève donc va falloir qu' on reste là en surveillance	mais un très mauvais il fait extrêmement chaud pleine de boulot comment traiter en priorité la mesure est ressorti parce qu' on a pris un peu partout dans barcelone enfants restera surveillance	_
côté français le feu est maîtrisé mais côté espagnol la situation reste incertaine surtout sur le frond ouest	français le feu est maîtrisé côté espagnol la situation reste incertaine surtout sur le front ouest	_
l' actualité politique du vingt quatre au vingt six août les universités d' été du ps à la rochelle ce sera sans ségolène royale la présidente de la région poitou charentes reste d' après ses proches marquée par sa défaite aux législatives lourdement battue par le dissident	actualité politique du vingt quatre vingt six août les universités d' été du ps à la rochelle ce sera sans ségolène royal la présidente de la région poitou charentes reste d' après ses proches marquée par sa défaite aux législatives lourdement battu par le dissident	_
olivier falorni selon son entourage la tête va bien mais la jambe est dans le plâtre expression de son entourage a signalé précision de thierry arnaud chef du service politique de bfm tv que la décision a été prise en accord total avec la première secrétaire martine aubry	falorni selon son entourage la tête va bien mais la jambe et dans le plâtre expression de son entourage a signalé précision de thierry arnaud chef du service politique de bfm tv que la décision été prise en accord total avec la première secrétaire martine aubry	_
l' allemagne les pays bas le luxembourg trois des piliers de la zone euro sont désormais dans le collimateur	l' allemagne les pays bas le luxembourg trois des piliers de la zone euro sont désormais dans le collimateur	_
de l' agence moody' s sous surveillance négative l' avenir à long terme de leur triple a s' inscrit en pointillé de nouveau les bourses européennes s' inquiètent	l' agence moody' s sous surveillance négative l' avenir à long terme de leur triple a s' inscrit en pointillé de nouveau les bourses européennes s' inquiètent	_
après une semaine qui était une semaine plutôt positive sur les marchés un retour assez marqué des principaux indices européens retour qui s' est encore creusé	après une semaine qui était une semaine plutôt positive sur les marchés retour assez marqué des principaux indices européens moi autour qui s' est encore creusé	_
hier sur la séance de lundi avec	sur la séance de lundi avec	_
une un repli extrêmement marqué y compris la france a perdu quasiment trois pour cent en séance sur une séance hier ça signifie que la tension est repartie d' une manière assez brutale sur les marchés européens	ne repliés extrêmement marqué y compris la france a perdu quasiment trois pour cent en séance sur une séance hier ça signifie que la tension est reparti de manière assez brutale sur les marchés européens	_
et d' ailleurs il y a un indice qui ne trompe pas c' est l' indice de la volatilité l' indice de la peur et cet indice a bondi d' une manière que nous n' avions pas connu depuis maintenant quelques mois	d' ailleurs il y a un indice qui ne trompent pas c' est l' indice de la volatilité de la peur et cet indice a bondi de manière que nous n' avions pas connues depuis maintenant quelques comment	_
l' auteur présumé de la fusillade du théâtro à lille a été présenté à un juge dans le nord image ici de leur arrivée de son arrivée au palais de justice de lille	auteur présumé de la fusillade du teatro à lille a été présenté un juge dans le nord images ici de leur arrivait de son arrivée au palais de justice de lille	_
le premier juillet un homme avait tué deux personnes devant cette discothèque le suspect avait été arrêté quelques jours plus tard en espagne en compagnie de l' homme qui l' avait aidé à prendre la fuite l' extradition des deux a eu lieu aujourd' hui	le premier juillet un homme avait tué deux personnes devant cette discothèque le suspect avait été arrêté quelques jours plus tard en espagne en compagnie de l' homme qui l' avait aidé à prendre la fuite l' extradition des deux a eu lieu aujourd' hui	_
l' actualité c' est aussi ce soir la syrie le gouvernement syrien décidé peut être à utiliser l' arme de la peur	actualité c' est aussi ce soir la syrie et le gouvernement syrien décider peut être à utiliser l' arme de la peur	_
(s) pour la première fois le régime a admis qu' il disposait d' un arsenal chimique une annonce qui résonne comme une menace en cas d' intervention étrangère les rebelles sont d' aileurs persuadés que les stocks d' armes chimiques sont en cours de transfert vers les zones frontalières anna moreau	pour la première fois le régime a admis qu' il disposait d' un arsenal chimique annonces qui résonnent comme une menace en cas d' intervention étrangère les rebelles sont d' ailleurs persuadé que les stocks d' armes chimiques sont en cours de transfert vers les zones frontalières anna moreau	_
est ce le long de la frontière avec la turquie le lyban ou bien l' irak	s le long de la frontière avec la turquie le liban ou bien l' irak	_
les rebelles syriens ne l' ont pas précisé mais ils affirment que le régime a transféré une partie de son arsenal d' armes chimiques aux portes du pays	rebelles syriens ne l' ont pas précisé mais ils affirment que le régime à transférer une partie de son arsenal d' armes chimiques aux portes du pays	_
en cas d' agression	cas d' agression	_
hier le régime a garanti que ces armes ne serviraient jamais à la répression de son peuple mais plutôt comme outil de dissuasion vis à vis de la communauté internationale	le régime a garanti que ces armes ne servirait jamais à la répression de son peuple mais plutôt comme outil de dissuasion vis à vis de la communauté internationale	_
ces armes sont destinées à être utilisées uniquement et strictement dans le cas d' agression extérieure contre la république syrienne	armes sont destinées à être utilisé uniquement et strictement dans le cas d' agression extérieure on est contre la république syrienne	_
ces déclarations ont fait bondir la maison blanche barack obama a réaffirmé sa vigilance	et déclarations ont fait bondir la maison blanche barack obama a réaffirmé sa vigilance	_
étant donné le stock d' armes chimiques que possède ce régime nous ferons en sorte qu' assad et son entourage sachent que le monde les regarde et qu' ils devront rendre des comptes devant la communauté internationale et les états unis s' ils faisaient l' erreur tragique de les utiliser	donner le stock d' armes chimiques que possède ce régime nous ferons en sorte que assad et son entourage sachent que le monde les regarde et qu' ils devront rendre des comptes devant la communauté internationale et les etats unis s' ils faisaient l' erreur tragique de les utiliser	_
le secrétaire général de l' onu ban ki moon a rappelé les bases du droit international au gouvernement syrien	secrétaire général de l' onu ban ki moon a rappelé les bases du droit international au gouvernement syrien	_
tous les pays ont l' obligation de ne pas utiliser des armes de destruction massive qu' ils soient signataires ou non d' une convention ou d' un accord	tous les pays ont l' obligation de ne pas utiliser des armes de destruction massive est il soit signataire ou non une convention ou d' un accord	_
la syrie développerait un arsenal d' armes chimiques depuis les années soixante dix certains experts l' analysent comme une réponse à l' armement nucléaire d' israël	sévit développerait un arsenal d' armes chimiques depuis des années soixante dix certains experts l' analysent comme une réponse à l' armement nucléaire d' israël	_
et même moscou pourtant allié du régime syrien s' inquiète la russie a rappelé que l' utilisation d' armes chimiques était interdite depuis un protocole vieux de plusieurs décennies et ratifié par damas	et même moscou pourtant allié du régime syrien s' inquiète la russie a rappelé que l' utilisation d' armes chimiques était interdit depuis un protocole vieux de plusieurs décennies et ratifié par damas	_
on part à londres quartier de saint pancras première étape sur le chemin des sites olympiques pour les athlètes français nicolas jamain grosse concentration de médaillables sur le quai aujourd' hui	part à londres le quartier de saint pancras première étape sur le chemin des sites olympiques pour les athlètes français daft ne nicolas jamain grosses concentrations de médailles table sur le quai aujourd' hui	_
exactement damien tout a commencé à midi aujourd' hui à saint pancras en plein coeur de londres sur le quai de la gare avec l' arrivée d' abord	exactement damien tout a commencé à midi aujourd' hui à saint pancras en plein coeur de londres sur lequel la gare avec l' arrivée d' abord	_
d' une délégation d' une équipe de france de natation vingt neuf nageurs et nageuses français et françaises sont arrivés emmenés par quelques stars notamment on peut les citer	une délégation d' une équipe de france de natation vingt neuf nageurs et nageuses français et français sont arrivés emmenée par quelques stars notamment on peut les citer	_
alain bernard camille lacourt yannick agnel	bernard camille lacourt yannick daniel	_
camille muffat mais également laure manaudou (n)	khamis muifa mais également laure manaudou hein	_
qui fait son retour dans des jeux olympiques très discrète très pressée visiblement laure manaudou puisqu' elle a évité quasiment	qui fait son retour dans des jeux olympiques très discret très pressé visiblement laure manaudou puisqu' elle a évité quasiment	_
toutes les caméras pour se faufiler dans le bus de l' équipe de france de natation et puis il y a quelques minutes on l' attendait avec beaucoup d' impatience l' arrivée d' une autre équipe de france qui en général (n) rapporte énormément de médailles	les caméras pour se faufiler dans le bus de l' équipe de france de natation et puis il y a quelques minutes on attendait avec beaucoup d' impatience l' arrivée d' une autre équipe de france qui en général un rapporte énormément de médailles	_
à la délégation olympique française et bien l' équipe de france d' escrime emmenée bien sûr par l' inarrêtable l' inépuisable	la délégation olympique français eh bien l' équipe de france d' escrime emmené bien sûr par inarrêtable inépuisable	_
laura flessel elle a quarante ans elle participe ici à londres à ses cinquièmes jeux olympiques double médaillée d' or elle est arrivée il y a quelques minutes	laura flessel elle a quarante ans elle participe ici à londres à ses cinquièmes jeux olympiques double médaillé d' or olympiques elle est arrivée il y a quelques minutes	_
avec et bien du bleu du blanc et du rouge sur les ongles des mains sur les ongles des pieds extrêmement souriante heureuse et bien de vivre dans quelques heures dans quelques jours ses cinquièmes jeux olympiques je vous propose de l' écouter au micro de rodolphe masset c' était il y a quelques minutes	eh bien du bleu du blanc et du rouge sur les ongles des mains sous les ongles des pieds extrêmement souriant heureuses eh bien de vivre dans quelques heures dans quelques jours ses cinquièmes jeux olympiques je vous propose de l' écouter au micro de rodolphe massé sept il y a quelques minutes	_
on y est lorsqu' on est arrivé en fait à la gare du nord et que l' équipe d' eurostar nous a agréablement accueillis on se dit voila on on part et lorsqu' on a mis le pied	lorsqu' on est arrivé en fait à la gare du nord et que l' équipe de douze agréablement accueillie pensait vivait à la plupart et lorsqu' on a mis le pied	_
dans le le train là y avait une grosse frénésie il y a eu que de l' excitation et voila on arrive on pose le pied ici on est	le train il y avait une fausse frénésie de l' ex évasion voilà on n' arrive pas bien ici	_
reçu avec avec des gardes le je dirais le le clin d' oeil avec l' english tea ça ça fait plaisir ça fait plaisir voila il y a les anneaux vous êtes là vous nous rappelez que on est venu pour la compet(ition) donc on va on va essayé d' être conquérant	avec mcveigh à gérer le le clin d' oeil avec les anglais je dis ça ça fait plaisir savait baiser à voilà il y a les ados plaide la rappeler qu' elle est venue pour la tempête dont on va on va essayer d' être conquérant	_
voilà les cinquièmes et derniers jeux olympiques pour laura flessel bien sûr qui seront très particuliers pour elle puisque	voilà des cinquièmes et derniers jeux olympiques pour laura flessel bien sûr qui seront très particulier pour elle puisque	_
elle sera vendredi lors de la cérémonie d' ouverture au stade olympique de londres la porte drapeau de la délégation olympique française elle qui entrera en compétition dès le trente juillet	sera vendredi lors de la cérémonie d' ouverture au stade olympique de londres la porte drapeau de la délégation olympique française elle qui entrera en compétition dès le trente juillet	_
nicolas jamain avec depuis londres	nicolas jamain avec florent susini depuis londres	_
on va parler maintenant d' une espèce de g25 de la gastronomie	on va parler maintenant d' une espèce de g25 de la gastronomie	_
oui ce sont les cuisiniers des vingt cinq chefs d' état les plus puissants du monde	ce sont les cuisiniers des vingt cinq chefs d' etats les plus puissants du monde	_
qui sont réunis pour trois jours à paris ils ont visité rungis versailles et vous le voyez ils ont été reçu à l' elysée par françois hollande à l' occasion de signaler que le titulaire là bas s' appelle bernard vaussion et que la règle de l' alternance s' arrête à la porte des cuisines bernard vaussion était déjà en poste sous georges pompidou	sont réunis pour trois jours à paris ont visité rungis versailles et vous le voyez ils ont été reçus à l' elysée par françois hollande à l' occasion de signaler que le titulaire là bas s' appelle bernard bosson et que la règle de l' alternance s' arrête à la porte des cuisines bernard émotion était déjà en poste sous georges pompidou	_
voilà il a reçu sa petit toque françois hollande	il a reçu sa petite toque france	_
terminer (n) pour le régime du président promesse de campagne	un pour le régime du président de la campagne	_
un oeil sur le temps prévu demain matin	sur le temps prévu demain matin	_
on va regarder ça effectivement et on aura une pensée pour tous ceux qui sont en vacances deux petits nuages pour la région niçoise et pour la corse le reste c' est que du soleil les températures sont douces dès le lever du jour vous le voyez treize dans le nord seize sur la capitale	va regarder ça effectivement il y en aura une pensée pour tous ceux qui sont en vacances deux petits nuages pour la région niçoise et pour la corse le reste c' est que du soleil les températures sont douces dès le lever du jour vous le voyez très dans le nord ses sur la capitale	_
et a biarritz dix sept à lyon il fait vingt degrés sur le cap corse	est à biarritz dix sept à lyon il fait vingt degrés sur le cap corse	_
cette fois ci c' est vraiment la fin la fin pour france soir liquidé	cette fois ci c' est vraiment la faim la faim pour france soir liquider	_
par le tribunal de commerce un titre historique de la presse française qui tentait sa survie sur le numérique on en parle avec le tout dernier rédacteur en chef de france soir dominique de montvalon c' est bien triste tout ça	le tribunal de commerce un titre historique de la presse française qui tentait sa survie sur le numérique on en parle avec le tout dernier rédacteur en chef de france soir dominique de montvalon béatrice tout ça	_
oui c' est triste c' est c' est un choc on s' attendait à cette issue on espérait nous autres journalistes	c' est triste c' est c' est un choc quand on s' attendait à à cette issue on espérait nous autres journalistes	_
qui avons tenté de de faire vi(vre) et et en partie réussi de faire vivre ce site depuis depuis janvier en fait on était véritablement en équipe complète depuis la mi mars seulement	qui avons tenté de de faire vite et en partie réussi de faire vivre ce site depuis depuis janvier en fait on était véritablement en équipe complet depuis la mi mars seulement	_
on espérait que peut être un repreneur surgirait au dernier moment viendrait prendre le relais de d' alexandre pougatchev le le président notre président franco russe qui a qui a jeté l' éponge	on espérait que peut être un repreneur surgirait au dernier moment viendrait prendre le relais de d' alexandre pougatchev le président notre président franco russe qui qui a jeté l' éponge	_
voila c' est c' est une c' est une déception c' est un choc et à certains égards pour nous on le vit comme une injustice parce qu' on a le sentiment	voilà c' est c' est une c' est une déception c' est un choc et à certains égards pour nous on le vit comme une injustice parce qu' on a le sens	_
et (n) parce qu' on a le sentiment que on avait marqué des points et qu' on avait le droit d' avoir quelques mois devant nous comme d' ailleurs alexandre pougatchev nous l' avait promis à l' origine	ben parce qu' on a le sentiment que on avait marqué des points et qu' on avait le droit d' avoir quelques mois devant nous comme d' ailleurs alexandre pougatchev que vous l' avez promis à l' origine	_
oui alors (n) attendez c' est c' est une affaire compliquée il il est arrivé pour relancer et et disait il sauver france soir il s' agissait du france soir papier il a investi là dedans beaucoup d' argent	il y a là bas attendez c' est c' est une affaire compliquée neuf il est arrivé pour relancer et disait il sauver france soir il s' agissait du france soir papier il a investi là dedans beaucoup d' argent	_
qu' il ait investi beaucoup d' argent ne nous interdit pas à nous autres de journalistes qui qui venons de france soir qui quittons maintenant france soir de dire qu' il a mal utilisé enfin qu' il s' est conduit d' une façon légère pardon de le dire mais c' est c' est comme ça qu' on le ressent	il est investi beaucoup d' argent n' interdit pas à nous autres de journalistes qui qui venant de france soir qui quittons maintenant françois de dire qu' il a mal utilisée enfin qui s' est conduit d' une façon le légère pardon de le dire mais c' est c' est comme ça qu' on le ressent	_
parce que imaginer que france soir papier pouvait faire	parce que imaginez que france soir papier pouvait faire	_
pouvait en un an avec beaucoup d' argent dans les caisses vendre deux cents mille exemplaires c' est une pure folie	pouvez de en un an avec beaucoup d' argent dans les caisses de deux cents mille exemplaires c' était pure folie	_
le résultat un échec l' arrêt en décembre et énormément de dettes et	résultat un échec l' arrêt en décembre et énormément de dette et	_
on a cru son histoire on a cru qu' il était converti au numérique entretemps beaucoup de nos camarades avaient été licenciés on l' oublie pas ça on a cru ça il nous avait dit	a cru son histoire on a cru qu' il était converti au numérique entre temps beaucoup de nos camarades avaient été licenciés on l' oublie pas ça on a cru ça il nous avait dit	_
je vous donnerai du temps pas pas on demandait pas un temps éternel etcis enfin bon en gros si on avait eu je sais pas moi vous vous rendez compte l' énormité un an pour démontrer pas après pas qu' on était peut être à la hauteur et puis sinon il y aurait eu sanction mais là toc l' écharde est coupée c' est rude	vous donnerait du temps pas à pas en demandait pas un temps éternel etc mais enfin bon en gros si on avait eu je sais pas moi vous rendez compte l' énormité un an pour démontrer pas après pas qu' on était peut être à la hauteur et puis sinon il y a eu sanction mais la peuple légère est coupée sérieux	_
mais est ce que finalement votre histoire celle de france soir c' est pas l' histoire sombre de la presse papier quotidienne payante et qui vit un lent déclin et france soir est peut être le premier quotidien d' une longue liste	est ce que finalement votre histoire celle de france soir c' est pas l' histoire sombre de la presse papier quotidienne payante et qui vit un lent déclin et france soir et peut être le premier quotidien d' une longue liste	_
j' ai envie de	j' ai envie de	_
d' espérer que vous vous trompez ça serait dramatique on on peut le craindre	espérer que vous vous trompez serait dramatique on peut le craindre	_
on on peut on est peut être l' avant garde d' une évolution qui ira de	on peut on est peut être l' avant garde une évolution qui ira de	_
d' échec en échec mais je m' arrête vite là parce que on vit une chose douloureuse on on on pense que ça aurait pu tourner autrement on on espère quelque part que peut être dans quelques mois quelque chose ressortira ressurgira des cendres là	d' échec en échec mais je m' arrête vite là parce que on vit une chose douloureuse on on pense que ça aurait pu tourner autrement on espère quelque part que peut être dans quelques mois quelque chose ressortira ressurgira descendre on a	_
france soir n' est pas définitivement mort	pas définitivement aujourd' hui	_
aujourd' hui c' est fini il y a encore quelques jours sur le site numérique de france soir point fr quelques jours d' un d' un sursis	hui c' est fini a encore quelques jours sur le site numérique francesoir point fr quelques jours d' un sursis	_
petit petit espoir de renaissance du titre	petit espoir de de renaissance du titre	_
je je pense que ce titre est vi() je pense enfin ça me paraît une évidence il il vient de loin	je pense que ce titre il vit à je pense enfin ça me paraît une évidence il il vient de loin	_
c' était le mouvement de résistance défense de la france	c' était le mouvement de résistance des forces de la france	_
qui à la libération a donné naissance à france soir dans les années fr() dans les années soixante france soir c' est que vous l' avez dit tout à l' heure	à la libération a donné naissance à france soir dans les années francs dans les années soixante bonsoir c' est que vous l' avez dit tout à l' heure	_
c' était quelque chose d' extraordinaire enfin dans un contexte qui n' est plus le nôtre aujourd' hui à un million d' exemplaires par jour et même plus parfois plusieurs éditions etc bon après il y a eu quinze vingt ans de de d' à coup on va dire ça pudiquement	était quelque chose d' extraordinaire en fait dans une situation qui n' est plus le nom d' exemplaires par jour et même plus parfois plusieurs éditions etc bon après il y a eu quinze vingt ans de de de d' un coup on va dire ça pudiquement	_
la reprise par alexandre pougatchev notre franco russe	la reprise par alexandre pougatchev notre franco russe	_
moi je dis quand même que ce titre il appartient me semble t il je dis modestement vous savez moi	moi je dis quand même que ce titre il appartient me semble t il je dis modestement vous savez moi	_
en rapport à l' c' est rien je suis un microbe (n) mais ce titre il appartient quelque part même pour les tout jeunes aujourd' hui je n' hésite pas à le dire au patrimoine français donc je n' exclus pas	par rapport à lazareff c' est rien je suis un microbe un mais si ce titre il appartient de quelque part même pour les tout jeunes aujourd' hui je n' hésite pas à le dire au patrimoine français dont je n' exclus pas	_
qui qu' il soit qu' il soit mis aux enchères et qu' il resurgisse un jour mais enfin aujourd' hui c' est fini et on a quand même de l' amertume aux lèvres et un peu de colère	qu' ils soient et qu' il soit mis aux enchères et qu' il resurgit cinq jours mais enfin aujourd' hui c' est fini et on a quand même de l' amertume aux lèvres est un peu de colère	_
parce que on aurait aimé je pense que nos nos internautes méritaient mieux les journalistes qui se sont battus méritaient mieux on demande pas des cadeaux on demande pas qu' on nous passe la main dans le dos mais cet arrêt brutal en pleine course et au coeur de l' été c' est quand même injuste	parce que on aurait aimé je pense que nos internautes méritez mieux les journalistes qui se sont battus méritaient mieux en demande pas des cadeaux demande pas qu' on nous passe la main dans le dos mais cet arrêt brutal en pleine course est au coeur de l' été c' est quand même injuste	_
merci dominique de montvalon et alors france soir peut être pourrait renaître de ses cendres on verra	dominique de montvalon alors france soir peut être pourrait renaître de ses cendres on verra	_
attendez j' j' ai pas d' infos j' ai pas d' infos j' ai juste une intuition on verra rendez vous dans quelques mois	je n' ai pas d' info sur le livre j' ai pas l' info je juste une intuition ouvrir un rendez vous dans quelques mois	_
merci va t on vivre un nouvel été meurtrier dans la zone	va t on vivre un nouvel été meurtrier dans la zone	_
euro l' allemagne première économie européenne menacée de perdre son triple a la situation qui se détériore en espagne alors justement le point sur l' espagne avec caroline lemoine et puis ensuite le débat sur plateau de bfm story	l' allemagne première économie européenne menacée de perdre son triple a la situation se détériore en espagne alors justement le point sur l' espagne avait caroline lemoine et puis ensuite le débat sur le plateau de bfm story	_
le gouvernement espagnol ne veut pas en entendre parler interrogé une nouvelle fois sur la possibilité d' un plan d' aide global de l' europe à l' espagne la réponse du ministre espagnol de l' économie est claire une intervention globale est elle possible	gouvernement espagnol ne veut pas en entendre parler interrogé une nouvelle fois sur la possibilité d' un plan d' aide globale de l' europe à l' espagne la réponse du ministre espagnol de l' economie éclair une intervention globale est elle possible	_
absolument pas	absolument pas	_
vendredi dernier une aide aux banques espagnoles a bien été validée mais pour le gouvernement de mariano rajoy pas question d' aller plus loin une aide globale serait pourtant nécessaire selon plusieurs économistes	vendredi dernier une aide aux banques espagnoles a bien été validé mais pour le gouvernement de mariano rajoy aille pas question d' aller plus loin une aide globale serait pourtant nécessaire selon plusieurs économistes	_
aider les banques espagnoles c' était nécessaire clairement c' est pas suffisant est ce que l' espagne pourra éviter de de faire appel à l' europe et au fond monétaire la réponse aujourd' hui est me paraît très incertaine	dès les banques espagnoles c' était nécessaire clairement c' est pas suffisant c' est ce que l' espagne pourra éviter je te faire appel à l' europe et au fond monétaire la réponse aujourd' hui me paraît très incertaine	_
un sauvetage extérieur n' est pas le pire scénario	aussi un sauvetage extérieur n' est pas le pire scénario	_
il y a deux autres possibilités la première c' est le défaut de paiement de ses dettes par l' espagne la seconde serait l' abandon de l' euro lequel entraînerait aussi le défaut de paiement	il y a deux autres possibilités la première c' est le défaut de paiement de cette dette par l' espagne la seconde serait l' abandon de l' euro lequel entraînerait aussi le défaut de paiement ch	_
ces deux voies sont sans aucun doute bien pire que l' espagne qu' une intervention	sur ces deux voies seraient sans aucun doute que j' ai vu bien pire pour l' espagne une intervention militaire	_
depuis quelques semaines les difficultés s' accélèrent dans le pays hier la bourse de madrid chutait de plus de cinq pour cent et les taux d' emprunt de l' espagne s' envolent à plus de sept pour cent	quelques semaines les difficultés s' accélèrent dans le pays hier la bourse de madrid chuter de plus de cinq pour cent et les taux d' emprunt de l' espagne s' envole à plus de sept pour cent	_
nous sommes avec une spécialiste de l' espagne économiste à l' ofce danielle schweisguth	sommes avec une spécialiste de l' espagne économiste à l' ofce daniel choix ils goûtent	_
bonsoir oui tout à fait	oui tout à fait	_
un peu peur et nous sommes également avec en direct de l' assemblée nationale le député christian eckert député socialiste de meurthe et moselle rapporteur général de la commission des finances tout d' abord pourquoi aujourd' hui on s' inquiète tant pour l' espagne	peur et nous sommes également avec en direct de l' assemblée nationale le député christian eckert député socialiste de meurthe et moselle rapporteur général de la commission des finances tout d' abord pourquoi aujourd' hui on s' inquiète tant pour l' espagne	_
alors pourquoi on s' inquiète pour l' espagne il y a plusieurs raisons d' une part le déficit espagnol est très est très élevé et on voit pas avec l' économie espagnole comment elle comment l' espagne va réussir à à à assainir ses comptes publics	alors pourquoi on s' inquiète peu l' espagne a plusieurs raisons d' une part le le déficit espagnole est très très élevé et on voit pas avec l' économie espagnole comment comment elle l' espagne va réussir à à hum à assainir ses comptes publics	_
le premier ministre rajoy et son gouvernement mène une politique de rigueur	le le premier ministre rarement son gouvernement mène une politique de rigueur	_
tout à fait ils ont ils ont annoncé soixante cinq milliards de de de recettes fiscales supplémentaires grâce à des hausses de tva grâce à la diminution de de salaire des fonctionnaires	a fait ils ont ils ont annoncé soixante cinq milliards de recettes fiscales supplémentaires grâce à des hausses de tva grâce à une diminution de salaire des fonctionnaires	_
ça ne suffit pas	ça ne suffit pas	_
ça ça suffit ça va bien sûr aider mais le problème c' est que la croissance est nécessaire également	ça suffit ça va bien sûr aider mais le problème c' est que la croissance est nécessaire également	_
à chaque fois que qu' on fait des des de la restriction budgétaire mais qu' on a pas la croissance à côté elle est beaucoup moins efficace qu' avec la croissance et actuellement étant donné la situation de l' europe avec beaucoup de pays en récession ou en faible croissance il y a peu de moteurs de croissance	a chaque fois que qu' on fait des des de la restriction budgétaire mais qu' on a pas la croissance à côté elle est beaucoup moins efficace qu' avec la croissance est actuellement à étant donné la situation de l' europe avec beaucoup de pays en récession ou en faible croissance y a peu de moteur de croissance	_
donc quand on dit par exemple que l' allemagne pourrait perdre son triple a tout ça est lié à la situation en espagne en italie et en grèce	quand on dit par exemple que l' allemagne pourrait perdre son triple a tout ça est lié à la situation en espagne en italie en grèce	_
tout à fait	a fait	_
en fait ces pays se tirent vers le bas	fait ces pays se tire vers le bas	_
exactement il y a une dynamique un cercle vicieux il y a une dynamique négative qui se qui se met en place dans le sens où un choc est plus important un choc négatif est plus important lorsqu' il est commun a plusieurs pays proches	exactement il y a une dynamique un cercle vicieux une dynamique négative qui se qui se met en place dans le sens où un choc est plus important choc négatif plus important lorsqu' il est commun à plusieurs pays proches	_
via le commerce extérieur d' une part mais aussi via les banques c' est à dire que les les banques allemandes ont investi dans la dette espagnole si la prime de risque espagnole augmente c' est néfaste pour les banques allemandes qui risquent de faire faillite	via le commerce extérieur d' une part mais aussi via les banques c' est dire que les les banques allemandes ont investi dans la dette espagnole si la prime de risque espagnol augmente c' est néfaste pour les banques allemandes qui risque de faire faillite	_
et pourquoi à à chaque été se se pose cette question c' était l' été dernier déjà (n) crise dans la zone euro et là on se pose ce soir sur le plateau de bfm story cette même question l' été meurtrier	est pourquoi chaque été se se pose cette question c' était l' été dernier déjà un crise dans la zone euro et là on se pose ce soir sur le plateau de bfm story cette même question l' été meurtrier	_
pourquoi l' été c' est peut être un hasard ou peut être pas une des réponses est que à la fin de l' année il y a beaucoup d' échéances fiscales l' espagne doit rembourser enfin renouveler vingt huit milliards de dettes au mois d' octobre la question est pourra t elle le faire	pourquoi elle était c' est peut être un hasard peut être pas une des réponses et que à la fin de l' année il y a beaucoup d' échéances fiscales à l' espagne doit rembourser va renouveler vingt huit milliards de dettes au mois d' octobre à la question est pourra t elle le faire	_
si les taux restent à sept et demi ça va être très difficile donc le la question se pose de comment finir l' année et comment pouvoir emprunter sur les marchés les montants nécessaires à financer	si les taux restent à cet ennemi ça va être difficile donc le la question se pose de comment finir l' année et comment hum pouvoir emprunter sur les marchés les montants nécessaires à à financer	_
les dépenses	les dépenses	_
christian eckert vous entendez l' explication sur l' espagne	christian eckert vous entendez l' explication sur l' espagne	_
est ce que en tant que responsable socialiste nouvellement installé au pouvoir vous avez conscience que finalement le plus dur est devant nous malgré le sommet européen de juin malgré votre action avec les les recettes nouvelles que vous essayez de dégager	ce qu' en tant que responsable socialiste nouvellement installé au pouvoir vous avez conscience que finalement le plus dur est devant nous malgré le sommet européen de joints malgré votre action avec les les recettes nouvelles que vous essayez de dégager	_
(n) écoutez oui on a pas attendu d' être au pouvoir pour sentir que y avait un problème et que ce problème est	écoutez oui on a pas attendu d' être pouvoir pour eux sentir qui avait un problème est que ce problème et	_
n' est pas résolu l' union a trop tardé à à prendre un certain nombre de décisions n' a reposé	n' est pas résolu l' union a trop tardé à prendre un certain nombre de décisions elle n' a reposé	_
que sur des mesures d' austérité certes elles sont nécessaires ça vient d' être dit mais il faut aussi	sur des mesures d' austérité certaines sont nécessaires ça vient d' être dit mais il faut aussi	_
